Player,Years,Total,Team,Breakdown,Order
"Austin Barnes, C LAD",3,1.47,BOS,,6
"Austin Barnes, C LAD",1,0.41,CHC,,10
"Chance Sisco, C BAL",5,3.25,TOR,,7
"Chance Sisco, C BAL",1,0.46,NYY,,12
"Jonathan Lucroy, C LAA",1,0.65,NYM,,2
"Jonathan Lucroy, C LAA",1,0.41,CHC,,10
"Jonathan Lucroy, C LAA",1,0.42,NYY,,12
"Yan Gomes, C WAS",1,0.62,NYY,,12
"Yan Gomes, C WAS",1,0.5,BOS,,15
"Adam Frazier, 2B PIT",5,2.5,TOR,,7
"Jed Lowrie, 2B NYM",1,0.55,NYM,,2
"Jed Lowrie, 2B NYM",2,0.82,CHC,,10
"Brett Gardner, OF NYY",1,0.41,CHC,,10
"Corey Dickerson, OF PIT",1,0.75,OAK,,3
"Corey Dickerson, OF PIT",2,2,ARZ,,4
"Corey Dickerson, OF PIT",5,4.1,LAD,,5
"Corey Dickerson, OF PIT",4,3.04,CHC,,10
"Corey Dickerson, OF PIT",3,1.8,CLE,,11
"Ender Inciarte, OF ATL",3,9,NYM,"2.4,3,3.6",2
"Ender Inciarte, OF ATL",2,1.4,OAK,,3
"Ender Inciarte, OF ATL",2,0.9,ARZ,,4
"Ender Inciarte, OF ATL",3,5.37,BOS,,6
"Ender Inciarte, OF ATL",4,2.24,CHC,,10
"Ender Inciarte, OF ATL",3,2.1,CLE,,11
"Ender Inciarte, OF ATL",1,2.65,NYY,,12
"Ender Inciarte, OF ATL",4,19.08,PIT,"3.82,4.77,4.77,5.72",18
"Mac Williamson, OF SF",3,5.31,SD,,17
"Matt Kemp, OF CIN",1,0.87,OAK,,3
"Michael Taylor, OF WAS",5,3.25,PHI,,14
"Andrew Cashner, SP BAL",1,0.55,KC,,9
"Brett Anderson, SP OAK",1,0.5,ATL,,16
"Felix Hernandez, SP SEA",1,0.55,KC,,9
"Felix Hernandez, SP SEA",1,0.4,CHC,,10
"Felix Hernandez, SP SEA",1,0.8,ATL,,16
"Jake Faria, SP TB",5,3.6,LAD,,5
"Lance Lynn, SP MIN",1,0.42,LAD,,5
"Lance Lynn, SP MIN",1,1.05,KC,,9
"Lance Lynn, SP MIN",2,1.1,CLE,,11
"Matt Shoemaker, SP TOR",1,0.42,LAD,,5
"Stephen Strasburg, SP WAS",3,18.15,KC,"5.05,6.05,7.05",9
"Stephen Strasburg, SP WAS",3,21.75,CLE,"5.85,7.25,8.65",11
"Stephen Strasburg, SP WAS",3,20.4,PIT,,1
"Stephen Strasburg, SP WAS",5,31.25,OAK,,3
"Stephen Strasburg, SP WAS",3,16.5,ARZ,,4
"Stephen Strasburg, SP WAS",3,17.4,LAD,,5
"Stephen Strasburg, SP WAS",2,10.2,TOR,,7
"Stephen Strasburg, SP WAS",3,14.85,CHC,,10
"Stephen Strasburg, SP WAS",3,12.9,PHI,,14
"Stephen Strasburg, SP WAS",1,1,ATL,,16
"Stephen Strasburg, SP WAS",3,17.31,SD,,17
"Stephen Strasburg, SP WAS",4,32,WAS,,19
"Trevor Cahill, SP LAA",2,1.1,CLE,,11
"Wily Peralta, SP KC",5,2.65,LAD,,5
"Alex Colome, RP CWS",2,2,ARZ,,4
"Alex Colome, RP CWS",3,2.46,LAD,,5
"Alex Colome, RP CWS",1,1.05,KC,,9
"Alex Colome, RP CWS",1,0.4,CHC,,10
"Alex Colome, RP CWS",1,0.75,NYY,,12
"Carl Edwards, RP CHC",4,2,NYM,,8
"Carl Edwards, RP CHC",3,2.25,CHC,,10
"Carl Edwards, RP CHC",2,0.8,CLE,,11
"Cody Allen, RP LAA",2,3.8,CLE,"1.6,2.2",11
"Cody Allen, RP LAA",2,6,NYM,"2.4,3.6",2
"Cody Allen, RP LAA",2,8,ARZ,,4
"Cody Allen, RP LAA",3,2.37,BOS,,6
"Cody Allen, RP LAA",1,4.1,TOR,,7
"Cody Allen, RP LAA",1,4,KC,,9
"Cody Allen, RP LAA",1,0.41,CHC,,10
"Cody Allen, RP LAA",4,7.16,BOS,,13
"Cody Allen, RP LAA",2,13.4,PHI,,14
"Michael Lorenzen, RP CIN",3,1.2,LAD,,5
"Tyler Mahle, RP CIN",5,2,LAD,,5
