Player,Years,Total,Team,Breakdown,Order
"Blake Parker, RP MIN",1,1.17,BOS,,1
"Carlos Santana, 1B CLE",1,3.16,BOS,,1
"Corey Kluber, SP CLE",1,12.17,BOS,,1
"Ivan Nova, SP CHW",1,1.87,BOS,,1
"Jake Odorizzi, SP MIN",1,1.12,BOS,,1
"John Hicks, 1B DET",2,0.46,BOS,,1
"Michael Pineda, SP MIN",2,1.12,BOS,,1
"Miguel Cabrera, 1B DET",1,3.57,BOS,,1
"Taylor Rogers, RP MIN",2,1.17,BOS,,1
"Trevor May, RP MIN",2,2.37,BOS,,1
"Whit Merrifield, 2B KC",2,21.74,BOS,"12,9.74",1
"Michael Pineda, SP MIN",3,2.1,LAD,,2
"Miguel Cabrera, 1B DET",2,7.2,LAD,,2
"Salvador Perez, C KC",2,7.2,LAD,,2
"Whit Merrifield, 2B KC",2,7.2,LAD,,2
"Blake Parker, RP MIN",2,2,CLE,,3
"Carlos Santana, 1B CLE",1,2.1,CLE,,3
"Corey Kluber, SP CLE",2,27.6,CLE,"11.8,15.8",3
"Ivan Nova, SP CHW",1,1.9,CLE,,3
"Jake Odorizzi, SP MIN",2,4.4,CLE,,3
"Kyle Gibson, SP MIN",1,3.1,CLE,,3
"Leonys Martin, CF CLE",1,0.8,CLE,,3
"Matt Moore, RP DET",2,0.8,CLE,,3
"Michael Pineda, SP MIN",2,8.4,CLE,,3
"Miguel Cabrera, 1B DET",1,4.45,CLE,,3
"Nelson Cruz, DH MIN",1,7.7,CLE,,3
"Taylor Rogers, RP MIN",2,3,CLE,,3
"Trevor May, RP MIN",2,3.8,CLE,,3
"Tyler Austin, 1B MIN",2,0.5,CLE,,3
"Blake Parker, RP MIN",1,0.75,NYM,,4
"Carlos Santana, 1B CLE",2,9,NYM,,4
"Danny Salazar, SP CLE",3,8.25,NYM,,4
"Ian Kennedy, SP KC",1,0.4,NYM,,4
"Manny Banuelos, SP CWS",1,0.4,NYM,,4
"Michael Pineda, SP MIN",1,0.85,NYM,,4
"Miguel Cabrera, 1B DET",1,5.5,NYM,,4
"Mikie Mahtook, OF DET",3,1.2,NYM,,4
