Player,Years,Total,Team,Breakdown,Order
"Charlie Morton, SP TB",2,4.4,LAD,,1
"Craig Kimbrel, RP BOS",2,4.4,LAD,,1
"David Price, SP BOS",1,9.2,LAD,,1
"Didi Gregorius, SS NYY",5,2.5,LAD,,1
"JD Martinez, OF BOS",1,14.3,LAD,,1
"Marcus Stroman, SP TOR",5,20.5,LAD,,1
"Adam Ottavino, RP NYY",2,2.98,BOS,,2
"Alex Cobb, SP BAL",2,1.38,BOS,,2
"CC Sabathia, SP NYY",1,2.19,BOS,,2
"Craig Kimbrel, RP BOS",3,20.37,BOS,"7.5,7,5.87",2
"Didi Gregorius, SS NYY",3,10.71,BOS,,2
"Ji-Man Choi, DH TB",2,1,BOS,,2
"Justin Smoak, 1B TOR",1,1.34,BOS,,2
"Ken Giles, RP TOR",2,9.38,BOS,,2
"Marcus Stroman, SP TOR",3,5.67,BOS,,2
"Matt Barnes, RP BOS",2,3.58,BOS,,2
"Ryan Tepera, RP TOR",2,1.18,BOS,,2
"Troy Tulowitzki, SS NYY",1,2.19,BOS,,2
"Adam Ottavino, RP NYY",3,1.5,ATL,,3
"Alex Cobb, SP BAL",3,1.5,ATL,,3
"CC Sabathia, SP NYY",5,3,ATL,"1.8,2.4,3,3.6,4.2",3
"Charlie Morton, SP TB",1,2.1,ATL,,3
"Craig Kimbrel, RP BOS",1,6,ATL,,3
"David Price, SP BOS",1,9,ATL,,3
"JD Martinez, OF BOS",1,8,ATL,,3
"Joey Wendle, 2B TB",1,1,ATL,,3
"Ken Giles, RP TOR",1,4.5,ATL,,3
"Marcus Stroman, SP TOR",3,1.5,ATL,,3
"Matt Barnes, RP BOS",1,6,ATL,,3
"Ryan Tepera, RP TOR",1,0.45,ATL,,3
"Tommy Pham, OF TB",3,10.5,ATL,"2.8,3.5,4.2",3
"Adam Ottavino, RP NYY",1,0.72,PHI,,4
"Charlie Morton, SP TB",2,14.6,PHI,,4
"David Price, SP BOS",2,18.6,PHI,,4
"Ken Giles, RP TOR",1,5.3,PHI,,4
"Marcus Stroman, SP TOR",1,5.3,PHI,,4
"Matt Barnes, RP BOS",1,0.82,PHI,,4
"Adam Ottavino, RP NYY",1,0.85,NYM,,5
"Charlie Morton, SP TB",1,2.75,NYM,,5
"Chris Davis, 1B BAL",2,1.1,NYM,,5
"David Price, SP BOS",1,5.25,NYM,,5
"Didi Gregorius, SS NYY",4,2.8,NYM,,5
"Jordan Montgomery, SP NYY",5,5,NYM,".8,1,1,1,1.2",5
"Justin Smoak, 1B TOR",1,0.85,NYM,,5
"Ken Giles, RP TOR",2,7.5,NYM,,5
"Marcus Stroman, SP TOR",3,8.55,NYM,,5
"Adam Ottavino, RP NYY",2,3.6,OAK,,6
"Charlie Morton, SP TB",1,4.5,OAK,,6
"Craig Kimbrel, RP BOS",3,21,OAK,,6
"David Price, SP BOS",2,11,OAK,,6
"Didi Gregorius, SS NYY",5,7.5,OAK,,6
"JD Martinez, OF BOS",3,45,OAK,"15,12,18",6
"Ken Giles, RP TOR",4,20,OAK,"4,4,6,6",6
"Matt Barnes, RP BOS",5,13,OAK,,6
"Tommy Pham, OF TB",3,15,OAK,,6
"Zack Britton, RP NYY",3,4.2,OAK,,6
"Alex Cobb, SP BAL",2,5.1,KC,"2.05,3.05",7
"Chris Davis, 1B BAL",3,4.65,KC,"1.25,1.55,1.85",7
"Clayton Richard, SP TOR",1,1.55,KC,,7
"Ken Giles, RP TOR",1,4.05,KC,,7
"Mark Trumbo, DH BAL",1,2.05,KC,,7
"Matt Shoemaker, SP TOR",1,1.05,KC,,7
"Tommy Pham, OF TB",1,3.55,KC,,7
"Adam Ottavino, RP NYY",2,3.98,CHC,,8
"Brock Holt, 2B BOS",1,0.4,CHC,,8
"Craig Kimbrel, RP BOS",1,6.56,CHC,,8
"David Price, SP BOS",2,6.6,CHC,,8
"Dustin Pedroia, 2B BOS",1,0.41,CHC,,8
"JD Martinez, OF BOS",1,22.51,CHC,,8
"Mark Trumbo, DH BAL",1,0.45,CHC,,8
"Matt Barnes, RP BOS",1,0.75,CHC,,8
"Tommy Pham, OF TB",1,7.95,CHC,,8
"Tyler Thornburg, RP BOS",2,0.88,CHC,,8
"Zack Britton, RP NYY",1,0.45,CHC,,8
"Charlie Morton, SP TB",1,7.01,BOS,,9
"David Price, SP BOS",1,7.09,BOS,,9
"JD Martinez, OF BOS",1,15.79,BOS,,9
"Kendrys Morales, 1B TOR",2,1.14,BOS,,9
"Tommy Pham, OF TB",2,16.02,BOS,,9
"Zack Britton, RP NYY",2,2.98,BOS,,9
"Charlie Morton, SP TB",1,5,ARZ,,10
"Craig Kimbrel, RP BOS",1,4.5,ARZ,,10
"David Price, SP BOS",2,9,ARZ,,10
"Didi Gregorius, SS NYY",3,12,ARZ,,10
"JD Martinez, OF BOS",3,33,ARZ,,10
"Joey Wendle, 2B TB",3,1.5,ARZ,,10
