Player,Years,Total,Team,Breakdown,Order
"Drew Smyly, SP SEA",3,1.2,LAD,,1
"Anthony Swarzak, RP SEA",1,1.1,CLE,,2
"Asdrubal Cabrera, 2B TEX",1,2.1,CLE,,2
"Blake Treinen, RP OAK",1,5,CLE,,2
"Cody Allen, RP LAA",1,4.2,CLE,,2
"Dee Gordon, 2B SEA",2,5.2,CLE,,2
"Drew Smyly, SP SEA",2,2.2,CLE,,2
"Edwin Encarnacion, 1B SEA",1,3.3,CLE,,2
"Hunter Strickland, RP SEA",1,2.4,CLE,,2
"Jose Leclerc, RP TEX",1,3.9,CLE,,2
"Justin Upton, OF LAA",2,7.8,CLE,,2
"Justin Verlander, SP HOU",1,12.2,CLE,,2
"Khris Davis, DH OAK",2,13.2,CLE,,2
"Shin Soo Choo, OF TEX",1,0.8,CLE,,2
"Trevor Cahill, SP LAA",1,2.2,CLE,,2
"Yuli Gurriel, 1B HOU",1,2.3,CLE,,2
"Yusei Kikuchi, SP SEA",2,5.6,CLE,,2
"Andrelton Simmons, SS LAA",1,3.59,BOS,,3
"Blake Treinen, RP OAK",3,15.48,BOS,"6,5,4.48",3
"Brad Peacock, RP HOU",3,4.08,BOS,"1.5,1.4,1.18",3
"Cody Allen, RP LAA",1,3.19,BOS,,3
"Dee Gordon, 2B SEA",2,12.74,BOS,"7,5.74",3
"Drew Smyly, SP SEA",3,3.57,BOS,,3
"Elvis Andrus, SS TEX",1,3.19,BOS,,3
"Isiah Kiner-Falefa, 3B TEX",3,1.71,BOS,,3
"Jesse Chavez, RP TEX",1,0.5,BOS,,3
"Joakim Soria, RP OAK",2,1.34,BOS,,3
"Justin Upton, OF LAA",3,24.81,BOS,"9.7,8.11,7",3
"Justin Verlander, SP HOU",1,14.29,BOS,,3
"Mike Fiers, SP OAK",1,3.28,BOS,,3
"Mike Leake, SP SEA",2,3.38,BOS,,3
"Omar Narvaez, C SEA",3,2.61,BOS,,3
"Ryan Pressly, RP HOU",3,3.51,BOS,"1.3,1.21,1",3
"Shin Soo Choo, OF TEX",1,0.87,BOS,,3
"Yuli Gurriel, 1B HOU",1,4.37,BOS,,3
"Yusei Kikuchi, SP SEA",3,15.51,BOS,"5.8,5.5,4.21",3
"Blake Treinen, RP OAK",2,16,OAK,"6.4,9.6",4
"Jose Leclerc, RP TEX",2,11.4,OAK,,4
"Justin Upton, OF LAA",2,11.8,OAK,,4
"Justin Verlander, SP HOU",1,13.35,OAK,,4
"Khris Davis, DH OAK",2,18,OAK,"7.2,10.8",4
"Yusei Kikuchi, SP SEA",3,16.5,OAK,,4
"Andrelton Simmons, SS LAA",4,10.44,PIT,,5
"Asdrubal Cabrera, 2B TEX",1,2.61,PIT,,5
"Blake Treinen, RP OAK",3,17.34,PIT,,5
"Cody Allen, RP LAA",1,4.61,PIT,,5
"Dee Gordon, 2B SEA",2,12.52,PIT,,5
"Domingo Santana, OF SEA",5,8.9,PIT,,5
"Edwin Encarnacion, 1B SEA",1,4.78,PIT,,5
"Frankie Montas, SP OAK",5,11.3,PIT,"2.71,2.71,2.26,1.81,1.81",5
"Hunter Strickland, RP SEA",2,2.52,PIT,,5
"Jose Leclerc, RP TEX",3,17.34,PIT,,5
"Justin Upton, OF LAA",3,24.78,PIT,"9.91,8.26,6.61",5
"Justin Verlander, SP HOU",1,15.78,PIT,,5
"Khris Davis, DH OAK",2,14.52,PIT,,5
"Matt Harvey, SP LAA",5,3.9,PIT,,5
"Mike Fiers, SP OAK",1,1.78,PIT,,5
"Nick Tropeano, SP LAA",3,3.78,PIT,,5
"Wade LeBlanc, SP SEA",1,3.26,PIT,,5
"Wade Miley, SP HOU",2,4.52,PIT,,5
"Yuli Gurriel, 1B HOU",1,1.26,PIT,,5
"Yusei Kikuchi, SP SEA",3,21.78,PIT,,5
"Ryan Pressly, RP HOU",3,3.6,OAK,,6
"Albert Pujols, 1B LAA",1,0.75,ARZ,,7
"Anthony Swarzak, RP SEA",1,1,ARZ,,7
"Blake Treinen, RP OAK",1,5.8,ARZ,,7
"Cody Allen, RP LAA",1,5.6,ARZ,,7
"Dee Gordon, 2B SEA",3,13.5,ARZ,,7
"Domingo Santana, OF SEA",3,1.5,ARZ,,7
"Drew Smyly, SP SEA",1,1.1,ARZ,,7
"Edwin Encarnacion, 1B SEA",1,7.75,ARZ,,7
"Fernando Rodney, RP OAK",1,1.25,ARZ,,7
"Frankie Montas, SP OAK",1,0.55,ARZ,,7
"Hector Rondon, RP HOU",3,2.4,ARZ,,7
"Hunter Strickland, RP SEA",1,1.75,ARZ,,7
"Jay Bruce, OF SEA",1,1.6,ARZ,,7
"Jesse Chavez, RP TEX",1,0.55,ARZ,,7
"Joakim Soria, RP OAK",1,0.65,ARZ,,7
"Jose Leclerc, RP TEX",1,4.9,ARZ,,7
"Justin Upton, OF LAA",1,8.3,ARZ,,7
"Justin Verlander, SP HOU",1,8,ARZ,,7
"Khris Davis, DH OAK",1,10.7,ARZ,,7
"Matt Harvey, SP LAA",2,4,ARZ,,7
"Mike Fiers, SP OAK",1,2.5,ARZ,,7
"Mike Leake, SP SEA",1,2.5,ARZ,,7
"Ryan Pressly, RP HOU",1,0.73,ARZ,,7
