Player,Years,Total,Team,Breakdown,Order,,,,,Position,,,,,,,,,,,
"Francisco Cervelli, C PIT",1,0.45,CHC,,9,,,,C PIT,C,,,,,,,,,,,
"Francisco Cervelli, C PIT",1,0.6,DET,,16,,,,C PIT,C,,,,,,,,,,,
"Francisco Cervelli, C PIT",1,0.75,NYY,,12,,,,C PIT,C,,,,,,,,,,,
"Francisco Cervelli, C PIT",5,3.75,PHI,,1,,,,C PIT,C,,,,,,,,,,,
"Yadier Molina, C STL",1,0.59,BOS,,8,,,,C STL,C,,,,,,,,,,,
"Yadier Molina, C STL",2,0.9,CHC,,9,,,,C STL,C,,,,,,,,,,,
"Yadier Molina, C STL",2,2,DET,".9,1.1",16,,,,C STL,C,,,,0,0,0,0,0.9,1.1,,
"Yadier Molina, C STL",1,0.75,NYY,,12,,,,C STL,C,,,,,,,,,,,
"Yadier Molina, C STL",1,0.8,PIT,,4,,,,C STL,C,,,,,,,,,,,
"Eric Thames, 1B MIL",1,1,ATL,,13,,,,1B MIL,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",3,12,ARZ,,10,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",1,7,ATL,,13,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",3,6,BAL,,14,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",2,8.02,BOS,,8,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",2,9.5,CHC,,9,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",2,6.4,CLE,,5,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",4,14.2,KC,,17,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",1,4.6,LAD,,3,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",1,4.5,NYM,,6,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",1,5.5,OAK,,2,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",1,3.97,SD,,15,,,,1B CIN,1B,,,,,,,,,,,
"Joey Votto, 1B CIN",2,12,WAS,,7,,,,1B CIN,1B,,,,,,,,,,,
"Hernan Perez, 2B MIL",3,1.77,BOS,,11,,,,2B MIL,2B,,,,,,,,,,,
"Hernan Perez, 2B MIL",1,0.4,DET,,16,,,,2B MIL,2B,,,,,,,,,,,
"Scooter Gennett, 2B CIN",3,12,ARZ,,10,,,,2B CIN,2B,,,,,,,,,,,
