Player,Years,Total,Team,Breakdown,Order
"Trevor Bauer, SP CLE (NYM, 1)",3,23.61,BOS,,3
"Xander Bogaerts, SS BOS (LAD, 1)",3,22.71,BOS,,3
"Jacob DeGrom, SP NYM (BAL, 1)",3,30.81,BOS,,3
"Christian Yelich, OF Mil (LAD, 1)",3,27.81,BOS,,3
"Travis Shaw, 3B MIL (KC, 2)",3,19.41,BOS,,3
"Rougned Odor, 2B TEX (OAK, 2)",3,17.01,BOS,,3
"Yasmani Grandal, C LAD (PHI, 3)",3,13.41,BOS,,3
"Kevin Gausman, SP ATL (OAK, 3)",3,14.31,BOS,,3
"Tyler Skaggs, SP LAA (OAK, 4)",3,17.37,BOS,,3
"Steven Matz, SP NYM (ARZ, 4)",3,17.37,BOS,,3
"Garrett Richards, SP SD (WAS, 4)",5,16.45,BOS,,3
"Jorge Soler, OF KC (WAS, 4)",3,9.87,BOS,,3
"Aaron Sanchez, SP TOR (WAS, 5)",3,6.57,BOS,,3
"Travis Shaw, 3B MIL (KC, 2)",3,18,OAK,,1
"Nick Castellanos, 3B DET (PIT, 1)",3,18,OAK,,1
"Yasmani Grandal, C LAD (PHI, 3)",3,10.5,OAK,,1
"Xander Bogaerts, SS BOS (LAD, 1)",5,43.75,OAK,,1
"Trevor Bauer, SP CLE (NYM, 1)",4,36,OAK,,1
"Christian Yelich, OF Mil (LAD, 1)",5,65,OAK,,1
"Jacob DeGrom, SP NYM (BAL, 1)",4,48,OAK,,1
"Vince Velasquez, SP PHI (ARZ, 4)",3,6,OAK,,1
"Steven Matz, SP NYM (ARZ, 4)",3,9,OAK,,1
"Jimmy Nelson, SP Mil (CHC, 5)",4,4,OAK,,1
"Garrett Richards, SP SD (WAS, 4)",3,6,OAK,,1
"Aaron Sanchez, SP TOR (WAS, 5)",3,4.5,OAK,,1
"Jorge Soler, OF KC (WAS, 4)",3,5.25,OAK,,1
"Xander Bogaerts, SS BOS (LAD, 1)",5,50,ATL,,2
"Christian Yelich, OF Mil (LAD, 1)",5,50,ATL,,2
"Jacob DeGrom, SP NYM (BAL, 1)",5,50,ATL,,2
"Travis Shaw, 3B MIL (KC, 2)",3,12,ATL,,2
"Kevin Pillar, OF TOR (PHI, 2)",3,13.5,ATL,,2
"Gregory Polanco, OF PIT (OAK, 2)",3,9,ATL,,2
"Kevin Gausman, SP ATL (OAK, 3)",5,20,ATL,,2
"Carlos Rodon, SP CWS (OAK, 4)",3,1.5,ATL,,2
"Vince Velasquez, SP PHI (ARZ, 4)",3,1.5,ATL,,2
"Jorge Soler, OF KC (WAS, 4)",3,1.5,ATL,,2
"Aaron Sanchez, SP TOR (WAS, 5)",5,3.5,ATL,,2
"Jimmy Nelson, SP Mil (CHC, 5)",3,10.5,PHI,,4
"Tyler Skaggs, SP LAA (OAK, 4)",3,13.5,PHI,,4
"Vince Velasquez, SP PHI (ARZ, 4)",2,5,PHI,,4
"Carlos Rodon, SP CWS (OAK, 4)",3,10.5,PHI,,4
"Tyler Skaggs, SP LAA (OAK, 4)",3,10.5,CLE,,5
"Carlos Rodon, SP CWS (OAK, 4)",3,1.8,CLE,,5
"Steven Matz, SP NYM (ARZ, 4)",3,7.2,CLE,,5
"Vince Velasquez, SP PHI (ARZ, 4)",3,2.4,CLE,,5
"Trevor Bauer, SP CLE (NYM, 1)",3,23.4,CLE,,5
"Jimmy Nelson, SP Mil (CHC, 5)",3,1.8,CLE,,5
"Jacob DeGrom, SP NYM (BAL, 1)",3,36.6,CLE,,5
"Travis Shaw, 3B MIL (KC, 2)",3,10.8,CLE,,5
"Nick Castellanos, 3B DET (PIT, 1)",3,8.1,CLE,,5
"Rougned Odor, 2B TEX (OAK, 2)",3,10.2,CLE,,5
"Yasmani Grandal, C LAD (PHI, 3)",3,8.1,CLE,,5
"Xander Bogaerts, SS BOS (LAD, 1)",3,14.4,CLE,,5
"Christian Yelich, OF Mil (LAD, 1)",3,30.6,CLE,,5
"Joe Panik, 2B SF (NYY, 4)",3,2.25,DET,,6
"Jimmy Nelson, SP Mil (CHC, 5)",3,9,NYM,,7
"Tyler Skaggs, SP LAA (OAK, 4)",3,10.5,NYM,,7
"Jacob DeGrom, SP NYM (BAL, 1)",3,33,NYM,,7
"Christian Yelich, OF Mil (LAD, 1)",3,37.5,NYM,"13,12.5,12",7
"Tyler Skaggs, SP LAA (OAK, 4)",3,12.6,ARZ,,9
"Kevin Gausman, SP ATL (OAK, 3)",3,12,ARZ,,9
"Carlos Rodon, SP CWS (OAK, 4)",3,4.5,ARZ,,9
"Travis Shaw, 3B MIL (KC, 2)",3,18,ARZ,,9
"Nick Castellanos, 3B DET (PIT, 1)",5,15,ARZ,,9
"Rougned Odor, 2B TEX (OAK, 2)",3,12,ARZ,,9
"Xander Bogaerts, SS BOS (LAD, 1)",5,20,ARZ,,9
"Trevor Bauer, SP CLE (NYM, 1)",3,18,ARZ,,9
"Jimmy Nelson, SP Mil (CHC, 5)",3,9,ARZ,,9
"Christian Yelich, OF Mil (LAD, 1)",5,55,ARZ,,9
"Jacob DeGrom, SP NYM (BAL, 1)",3,21,ARZ,,9
"Garrett Richards, SP SD (WAS, 4)",3,3,ARZ,,9
"Aaron Sanchez, SP TOR (WAS, 5)",3,3,ARZ,,9
"Yasmani Grandal, C LAD (PHI, 3)",3,9,ARZ,,9
"Tyler Skaggs, SP LAA (OAK, 4)",5,5.5,LAD,,10
"Kevin Gausman, SP ATL (OAK, 3)",5,3,LAD,,10
"Carlos Rodon, SP CWS (OAK, 4)",5,2,LAD,,10
"Addison Russell, SS CHC (PIT, 4)",5,15.5,LAD,,10
"Travis Shaw, 3B MIL (KC, 2)",5,3.5,LAD,,10
"Nick Castellanos, 3B DET (PIT, 1)",5,15.5,LAD,,10
"Gregory Polanco, OF PIT (OAK, 2)",5,15.5,LAD,,10
"Rougned Odor, 2B TEX (OAK, 2)",5,2.5,LAD,,10
"Steven Matz, SP NYM (ARZ, 4)",5,10.5,LAD,,10
"Vince Velasquez, SP PHI (ARZ, 4)",5,20,LAD,,10
"Trevor Bauer, SP CLE (NYM, 1)",5,20,LAD,,10
"Joe Panik, 2B SF (NYY, 4)",5,5.5,LAD,,10
"Jimmy Nelson, SP Mil (CHC, 5)",5,5.5,LAD,,10
"Jacob DeGrom, SP NYM (BAL, 1)",5,30.5,LAD,,10
"Devon Travis, 2B TOR (BAL, 4)",5,2.5,LAD,,10
"Garrett Richards, SP SD (WAS, 4)",5,5.5,LAD,,10
"Jorge Soler, OF KC (WAS, 4)",5,5.5,LAD,,10
"Trevor Bauer, SP CLE (NYM, 1)",3,35.28,PIT,"14.11,11.76,9.41",11
"Christian Yelich, OF Mil (LAD, 1)",3,41.28,PIT,"16.51,13.76,11.01",11
"Gregory Polanco, OF PIT (OAK, 2)",3,6.78,PIT,,11
"Rougned Odor, 2B TEX (OAK, 2)",4,19.04,PIT,"5.74,4.76,4.76,3.81",11
"Travis Shaw, 3B MIL (KC, 2)",3,14.28,PIT,,11
"Kevin Gausman, SP ATL (OAK, 3)",3,6.78,PIT,"2.71,2.26,1.81",11
"Tyler Skaggs, SP LAA (OAK, 4)",4,9.04,PIT,"2.71,2.26,2.26,1.81",11
"Christian Yelich, OF Mil (LAD, 1)",3,56.97,CHC,,12
"Xander Bogaerts, SS BOS (LAD, 1)",3,24,CHC,,12
"Jorge Soler, OF KC (WAS, 4)",3,3.6,CHC,,12
"Jacob DeGrom, SP NYM (BAL, 1)",3,18.9,CHC,,12
"Yasmani Grandal, C LAD (PHI, 3)",3,12.9,CHC,,12
"Nick Castellanos, 3B DET (PIT, 1)",3,15.9,CHC,,12
"Addison Russell, SS CHC (PIT, 4)",3,1.2,CHC,,12
"Travis Shaw, 3B MIL (KC, 2)",3,15.9,CHC,,12
"Gregory Polanco, OF PIT (OAK, 2)",3,15.9,CHC,,12
"Gregory Polanco, OF PIT (OAK, 2)",3,10,WAS,,13
"Kevin Gausman, SP ATL (OAK, 3)",3,10,WAS,,13
"Tyler Skaggs, SP LAA (OAK, 4)",3,7.65,KC,,14
"Kevin Gausman, SP ATL (OAK, 3)",3,7.65,KC,,14
"Jimmy Nelson, SP Mil (CHC, 5)",3,7.65,KC,,14
"Christian Yelich, OF Mil (LAD, 1)",4,28.2,KC,,14
"Trevor Bauer, SP CLE (NYM, 1)",5,30,BAL,,15
"Steven Matz, SP NYM (ARZ, 4)",4,12,BAL,,15
"Travis Shaw, 3B MIL (KC, 2)",4,16,BAL,,15
"Nick Castellanos, 3B DET (PIT, 1)",5,38.85,SD,,16
"Trevor Bauer, SP CLE (NYM, 1)",5,63.85,SD,,16
"Xander Bogaerts, SS BOS (LAD, 1)",4,35.08,SD,,16
"Jacob DeGrom, SP NYM (BAL, 1)",4,47.08,SD,,16
"Christian Yelich, OF Mil (LAD, 1)",3,35.31,SD,,16
"Travis Shaw, 3B MIL (KC, 2)",3,14.31,SD,,16
"Rougned Odor, 2B TEX (OAK, 2)",5,38.85,SD,,16
"Gregory Polanco, OF PIT (OAK, 2)",3,11.31,SD,,16
"Yasmani Grandal, C LAD (PHI, 3)",3,14.31,SD,,16
"Kevin Gausman, SP ATL (OAK, 3)",3,11.31,SD,,16
"Carlos Rodon, SP CWS (OAK, 4)",3,8.31,SD,,16
"Tyler Skaggs, SP LAA (OAK, 4)",3,8.31,SD,,16
"Steven Matz, SP NYM (ARZ, 4)",3,11.31,SD,,16
"Vince Velasquez, SP PHI (ARZ, 4)",4,15.08,SD,,16
"Jorge Soler, OF KC (WAS, 4)",3,8.31,SD,,16
"Joe Panik, 2B SF (NYY, 4)",3,4.5,SD,,16
"Aaron Sanchez, SP TOR (WAS, 5)",3,5.91,SD,,16
"Christian Yelich, OF Mil (LAD, 1)",5,56.5,TOR,,17
"Xander Bogaerts, SS BOS (LAD, 1)",5,39.5,TOR,,17
"Rougned Odor, 2B TEX (OAK, 2)",5,29,TOR,,17
"Tyler Skaggs, SP LAA (OAK, 4)",5,19,TOR,,17
"Carlos Rodon, SP CWS (OAK, 4)",5,21,TOR,,17
"Vince Velasquez, SP PHI (ARZ, 4)",5,14,TOR,,17
"Jacob DeGrom, SP NYM (BAL, 1)",3,51,NYY,,18
"Kevin Gausman, SP ATL (OAK, 3)",3,9,NYY,,8
"Carlos Rodon, SP CWS (OAK, 4)",3,9,NYY,,8
"Rougned Odor, 2B TEX (OAK, 2)",3,18,NYY,,8
"Vince Velasquez, SP PHI (ARZ, 4)",3,9,NYY,,8
